http://www.greenpeace.org/fukushima-data,,,,,,,,,,
no.,date,waypoint,cps,Activity uSv/h,mem start,mem stop,In car ,Out car 1m,Out 10 cm, comments
,,,,,,,,,,
111,04/04/2011,N37 48.753 E140 26.564,,,,7478,,,x,spec no 4
112,04/04/2011,N37 48.751 E140 26.564,,0.73,,,,,x,specno 5/6
113,04/04/2011,N37 48.748 E 140 26.567,,2.3,7478,,x,,,
114,04/04/2011,N37 48.163 E140 27.219,,,,7665,x,,,Fukushima City
115,04/04/2011,N37 48.004 E140 27.315,,,7665,,x,,,
116,04/04/2011,N37 47.642 E140 27.578,,,,7740,x,,,
117,04/04/2011,N37 47.646 E140 27.575,,,7740,,x,,,
118,04/04/2011,N37 47.306 E140 27.715,,,,7802,x,,,
119,04/04/2011,N37 47.201 E140 27.752,,,7802,,x,,,
120,04/04/2011,N37 46.618 E140 27.935,,,,7876,x,,,
121,04/04/2011,N37 46.587 E140 27.935,52,1.31,7876,,x,,,
122,04/04/2011,N37 46.378 E140 27.920,,,,7937,x,,,
123,04/04/2011,N37 45.816 E140 27.861,,,7937,,x,,,
124,04/04/2011,N37 45.418 E140 27.967,,,,8082,x,,,
125,04/04/2011,N37 45.385 E140 27.965,98,2.2,8135,,,,x,
126,04/04/2011,N37 45.432 E140 27.968,35,0.9,8135,,x,,,
127,04/04/2011,N37 45.138 E140 28.855,,,,8562,x,,,
128,04/04/2011,N37 44.911 E140 28.924,,,8562,,,,,
129,04/04/2011,N37 44.398 E140 28.820,,,,8670,x,,,
130,04/04/2011,N37 43.989 E140 28.691,65,2,8670,,x,,,
131,04/04/2011,N37 42.336 E140 30.450,,,,8972,,,,
132,04/04/2011,N37.42.236 E140 30.486,,,8972,9127,,,,
133,04/04/2011,N37.41.508 E140 31.466,,,9127,,,,,
134,04/04/2011,N37 41.346 E140 31.422,,,,,,,,
135,04/04/2011,N37 39.801 E140 35.798,30,0.85,,,x,,,Decon area
136,04/04/2011,N37 39.587 E140 36.140,75,1.6,,9900,,x,,
137,04/04/2011,N37 38.773 E140 37.306,,,10014,,x,,,
138,04/04/2011,N37 38.787 E140 37.425,,,,10229,x,,,
139,04/04/2011,N37 38.218 E140 38.264,,,10229,,x,,,
140,04/04/2011,N37 38.032 E140 38.305,,,,10439,x,,,
141,04/04/2011,N37 37.709 E140 38.167,,,10439,,x,,,
142,04/04/2011,N37 37.556 E140 38.503,,,,10529,x,,,
143,04/04/2011,N37 37.440 E140 38.676,,,10529,,x,,,
144,04/04/2011,N37 37.451 E140 38.681,50,1.6,,,x,,,
145,04/04/2011,N37 37.444 E140 38.676,90,2.5,,10717,,,x,
146,04/04/2011,N37 37.093 E140 38.912,,1.1,10717,,x,,,
147,04/04/2011,N37 37.136 E140 38.916,,,,10812,x,,,
148,04/04/2011,N37 37.141 E140 38.909,140,4,10812,10856,,,x,outskirts of Karamata
149,04/04/2011,N37 37.142 E140 38.904,,,10856,,,x,,
150,04/04/2011,N37 37.138 E140 38.923,420,17,,,,x,,high dose
151,04/04/2011,N37 37.138 E140 38.923,,,,11373,,x,,
152,04/04/2011,N37 37.131 E140 38.939,,,,,,,,
153,04/04/2011,N37 37.028 E140 39.119,,,11373,,x,,,
154,04/04/2011,N37 36.832 E140 39.399,,,,11409,,,,
155,04/04/2011,N37 36.747 E140 39.465,,,11409,,,,,
156,04/04/2011,N37 36.240 E140 40.365,,,,11550,x,,,
157,04/04/2011,N37 36.243 E140 40.368,115,3,11550,,,,x,
158,04/04/2011,N37 36.163 E140 40.385,,,,11773,,,,
159,04/04/2011,N37 35.612 E140 41.216,52,2,11773,,x,,,house on road
160,04/04/2011,N37 35.620 E140 41.214,130,3.5,,11965,,,x,
161,04/04/2011,N37 35.620 E140 41.214,,,11965,,,,,
162,04/04/2011,N37 35.029 E140 41.895,85,3,,12203,x,,,
163,04/04/2011,N37 35.032 E140 41.892,240,7,12203,,,,x,house
164,04/04/2011,N37 35.041 E140 41.891,,8,,12481,,x,,
165,04/04/2011,N37 35.039 E140 41.892,,10,12481,,,x,,
166,04/04/2011,N37 35.149 E140 42.155,320,11.3,,12870,,x,,
167,04/04/2011,N37 35.144 E140 42.134,,,12870,,,x,,
168,04/04/2011,N37 35.162 E140 42.151,,,12870,,,,,
169,04/04/2011,N37 34.880 E140 43.273,200,8.5,,13092,x,,,Namie villiage
170,04/04/2011,N37 34.890 E140 43.236,300,12 to 17,13092,13492,,,x,scan 8
171,04/04/2011,N37 34.858 E140 43.289,,,13492,13699,x,,,
172,04/04/2011,N37 34.003 E140 44.585,,,13699,,,,,
173,04/04/2011,N37 33.936 E140 44.625,,,13699,,,,,
174,04/04/2011,N37 33.919 E140 44.620,240,8 to 14,,13694,,x,,
175,04/04/2011,N37 33.958 E140 44.672,,,13694,,x,,,
176,04/04/2011,N37 34.427 E140 45.156,,,,14104,x,,,
177,04/04/2011,N37 34.570 E140 45.195,,,14104,,x,,,
178,04/04/2011,N37 34.687 E140 45.409,140,10.1,,,x,,,
179,04/04/2011,N37 35.000 E140.45.549,310,15.8,,14545,x,,,
180,04/04/2011,N37 34.983 E140 45.546,,14,14545,,x,,,
181,04/04/2011,N37 35.853 E140 44.870,260,18,,14861,,,,
182,04/04/2011,N37 35.844 E140 44.952,350,30,15321,,x,,x,
183,04/04/2011,N37 35.217 E140 45.330,365,28,,,x,,,
184,04/04/2011,N37 35.050 E140 45.435,,,,16462,x,,,scan9 - returning on winding road
185,04/04/2011,N37 35.049 E140 45.439,,,16741,,,,,
186,04/04/2011,N37 35.858 E140 44.949,,,,16741,,,,
187,04/04/2011,N37 36.497 E140 45.152,,,16915,,,,,rice sampling spot??
188,04/04/2011,N37 36.682 E140 45.059,,,,16915,,,,
189,04/04/2011,N37 36.769 E140 44.949,200,7.8,,,x,,,
190,04/04/2011,N37 36.772 E140 44.959,257,11,,,x,,,
191,04/04/2011,N37 36.589 E140.43.502,,,18187,,,,,
192,04/04/2011,N37 36.626 E140 43.264,,,,,,,,
193,04/04/2011,N37 37.013 E140 42.373,,,,18289,x,,,
194,04/04/2011,N37 38.502 E140 38.102,,,19193,,x,,,
195,04/04/2011,N37 39.587 E140 36.227,,,,19522,,,,
196,04/04/2011,N37 39.895 E140 35.734,,,19522,,,,,Fukushima 16:12:39
